date	id	product_id	all_need_password_cnt	someone_have_password_cnt	active_recog_cnt	active_recog_has_pwd_cnt	passive_recog_cnt	passive_recog_has_pwd_cnt
20181023	1645	13	184000	116057	184000	116057	0	0
20181023	1641	0	180542	120539	168825	113182	11717	7357
20181023	1642	1	123110589	69841643	7194	4444	123103395	69837199
20181023	1643	3	2775	2083	0	0	2775	2083
20181023	1644	7	2	1	2	1	0	0
20181023	1655	97	1	1	0	0	1	1
20181023	1646	35	5324	3031	8	6	5316	3025
20181023	1647	51	3089653	1822320	0	0	3089653	1822320
20181023	1648	53	580841	376385	117	72	580724	376313
20181023	1654	96	1563335	897009	9496	5712	1553839	891297
20181023	1653	90	154987	85577	0	0	154987	85577
20181023	1652	80	56104	35076	10	8	56094	35068
20181023	1651	76	41873	23348	41873	23348	0	0
20181023	1650	70	213756806	131001264	212020924	129840116	1735882	1161148
20181023	1649	57	149513061	88827312	350912	209808	149162149	88617504
20181022	1626	0	14686002	8902543	14665666	8889587	20336	12956
20181022	1627	1	122493786	69138796	7504	4683	122486282	69134113
20181022	1629	13	172690	109310	172690	109310	0	0
20181022	1630	35	148439	81681	29	19	148410	81662
20181022	1631	51	3081582	1810969	0	0	3081582	1810969
20181022	1632	53	579897	372429	116	94	579781	372335
20181022	1633	57	150957907	89295674	353517	208999	150604390	89086675
20181022	1628	3	2666	2008	0	0	2666	2008
20181022	1635	76	26388	15732	26388	15732	0	0
20181022	1636	80	55997	35077	22	19	55975	35058
20181022	1637	90	144163	79368	0	0	144163	79368
20181022	1638	96	1499371	855441	10060	5942	1489311	849499
20181022	1639	97	2	2	0	0	2	2
20181022	1634	70	198800580	121323843	197180706	120245751	1619874	1078092
20181021	1601	35	258390	139762	76	43	258314	139719
20181021	1600	16	0	0	0	0	0	0
20181021	1598	7	0	0	0	0	0	0
20181021	1597	3	2873	2159	0	0	2873	2159
20181021	1596	1	123079423	69491355	9758	6110	123069665	69485245
20181021	1595	0	29805449	18116527	29705509	18054304	99940	62223
20181021	1602	51	3084473	1800576	0	0	3084473	1800576
20181021	1603	53	548468	356490	91	62	548377	356428
20181021	1604	57	151709411	89801433	413714	246668	151295697	89554765
20181021	1599	13	176803	118173	176803	118173	0	0
